CMD: ./SMHasher3 poly-mersenne.deg1 --test=SeedDifferential --extra
--- Testing poly-mersenne.deg1 "Degree 1 Hashing mod 2^61-1" [int128]

[[[ Seed Differential Tests ]]]

Fixed message pairs (m, m'), uniformly random seeds; counting seeds with hash(m) == hash(m').
Base message has w1 == ~w0; ~wi means 64-bit word i of m is complemented in m'.
Ideal rate is 2^-32 per seed; a row fails above max(3, E + 6*sqrt(E)), E = seeds * 2^-32.

Default tier: 2^20 seeds per pair
   len  differential   collisions / seeds     log2 rate
    16  ~w0~w1                 0 / 2^20     < -20.0
    16  ~w0                    0 / 2^20     < -20.0
    16  ~w1                    0 / 2^20     < -20.0
    24  ~w0~w1                 0 / 2^20     < -20.0
    24  ~w0                    0 / 2^20     < -20.0
    24  ~w1                    0 / 2^20     < -20.0
    24  ~w1~w2                 0 / 2^20     < -20.0
    24  ~w2                    0 / 2^20     < -20.0
    32  ~w0~w1                 0 / 2^20     < -20.0
    32  ~w0                    0 / 2^20     < -20.0
    32  ~w1                    0 / 2^20     < -20.0
    32  ~w1~w2                 0 / 2^20     < -20.0
    32  ~w2~w3                 0 / 2^20     < -20.0
    32  ~w2                    0 / 2^20     < -20.0
    32  ~w3                    0 / 2^20     < -20.0
    48  ~w0~w1                 0 / 2^20     < -20.0
    48  ~w0                    0 / 2^20     < -20.0
    48  ~w1                    0 / 2^20     < -20.0
    48  ~w1~w2                 0 / 2^20     < -20.0
    48  ~w2~w3                 0 / 2^20     < -20.0
    48  ~w3~w4                 0 / 2^20     < -20.0
    48  ~w2                    0 / 2^20     < -20.0
    48  ~w3                    0 / 2^20     < -20.0
    64  ~w0~w1                 0 / 2^20     < -20.0
    64  ~w0                    0 / 2^20     < -20.0
    64  ~w1                    0 / 2^20     < -20.0
    64  ~w1~w2                 0 / 2^20     < -20.0
    64  ~w2~w3                 0 / 2^20     < -20.0
    64  ~w3~w4                 0 / 2^20     < -20.0
    64  ~w2                    0 / 2^20     < -20.0
    64  ~w3                    0 / 2^20     < -20.0
   100  ~w0~w1                 0 / 2^20     < -20.0
   100  ~w0                    0 / 2^20     < -20.0
   100  ~w1                    0 / 2^20     < -20.0
   100  ~w1~w2                 0 / 2^20     < -20.0
   100  ~w2~w3                 0 / 2^20     < -20.0
   100  ~w3~w4                 0 / 2^20     < -20.0
   100  ~w2                    0 / 2^20     < -20.0
   100  ~w3                    0 / 2^20     < -20.0
   128  ~w0~w1                 0 / 2^20     < -20.0
   128  ~w0                    0 / 2^20     < -20.0
   128  ~w1                    0 / 2^20     < -20.0
   128  ~w1~w2                 0 / 2^20     < -20.0
   128  ~w2~w3                 0 / 2^20     < -20.0
   128  ~w3~w4                 0 / 2^20     < -20.0
   128  ~w2                    0 / 2^20     < -20.0
   128  ~w3                    0 / 2^20     < -20.0
   160  ~w0~w1                 0 / 2^20     < -20.0
   160  ~w0                    0 / 2^20     < -20.0
   160  ~w1                    0 / 2^20     < -20.0
   160  ~w1~w2                 0 / 2^20     < -20.0
   160  ~w2~w3                 0 / 2^20     < -20.0
   160  ~w3~w4                 0 / 2^20     < -20.0
   160  ~w2                    0 / 2^20     < -20.0
   160  ~w3                    0 / 2^20     < -20.0
   200  ~w0~w1                 0 / 2^20     < -20.0
   200  ~w0                    0 / 2^20     < -20.0
   200  ~w1                    0 / 2^20     < -20.0
   200  ~w1~w2                 0 / 2^20     < -20.0
   200  ~w2~w3                 0 / 2^20     < -20.0
   200  ~w3~w4                 0 / 2^20     < -20.0
   200  ~w2                    0 / 2^20     < -20.0
   200  ~w3                    0 / 2^20     < -20.0
   240  ~w0~w1                 0 / 2^20     < -20.0
   240  ~w0                    0 / 2^20     < -20.0
   240  ~w1                    0 / 2^20     < -20.0
   240  ~w1~w2                 0 / 2^20     < -20.0
   240  ~w2~w3                 0 / 2^20     < -20.0
   240  ~w3~w4                 0 / 2^20     < -20.0
   240  ~w2                    0 / 2^20     < -20.0
   240  ~w3                    0 / 2^20     < -20.0
   256  ~w0~w1                 0 / 2^20     < -20.0
   256  ~w0                    0 / 2^20     < -20.0
   256  ~w1                    0 / 2^20     < -20.0
   256  ~w1~w2                 0 / 2^20     < -20.0
   256  ~w2~w3                 0 / 2^20     < -20.0
   256  ~w3~w4                 0 / 2^20     < -20.0
   256  ~w2                    0 / 2^20     < -20.0
   256  ~w3                    0 / 2^20     < -20.0
  1024  ~w0~w1                 0 / 2^20     < -20.0
  1024  ~w0                    0 / 2^20     < -20.0
  1024  ~w1                    0 / 2^20     < -20.0
  1024  ~w1~w2                 0 / 2^20     < -20.0
  1024  ~w2~w3                 0 / 2^20     < -20.0
  1024  ~w3~w4                 0 / 2^20     < -20.0
  1024  ~w2                    0 / 2^20     < -20.0
  1024  ~w3                    0 / 2^20     < -20.0

PASS
Verification value is 0x00000001 - Testing took 2.030231 seconds

real 2.37
user 6.81
sys 0.03
EXIT 0
